infected,N,rain,temp,pop
11,44,0.164197129430249,0.136710660532117,1
5,21,0.529403223656118,0.878628738690168,1
6,23,0.24715559463948,0.939753489103168,1
3,11,0.899740236578509,0.186886107549071,1
4,15,0.239472449524328,0.458395438501611,1
13,44,0.319438624195755,0.0306968202348799,1
6,18,0.485235870582983,0.23647222830914,1
1,14,0.0364360136445612,0.0784304270055145,1
7,44,0.0214419595431536,0.318339963443577,1
12,33,0.78288044501096,0.577873864211142,1
19,30,0.718459103722125,0.74972820142284,2
28,49,0.460396972019225,0.328405096195638,2
5,12,0.286069134483114,0.231104637729004,2
32,48,0.473458746215329,0.576564631657675,2
9,15,0.456258061341941,0.554576759692281,2
28,41,0.330822771182284,0.553169493563473,2
15,32,0.221316979266703,0.772335430141538,2
20,30,0.401650484884158,0.740498097380623,2
24,29,0.953597858548164,0.902220145333558,2
25,39,0.594675576547161,0.303235383005813,2
11,29,0.21236332738772,0.637839563889429,3
4,23,0.16795121319592,0.0508298731874675,3
34,48,0.936404064064845,0.913508375873789,3
15,50,0.11121038836427,0.766741358442232,3
28,46,0.924275822238997,0.116485542384908,3
9,22,0.380611442727968,0.904661501059309,3
18,26,0.89072662894614,0.349419099045917,3
5,15,0.533128620358184,0.399518521502614,3
17,28,0.510754448128864,0.198533631395549,3
26,41,0.756155151175335,0.820865507936105,3
22,38,0.27508051507175,0.781301444862038,4
17,23,0.944591154111549,0.0822822288610041,4
18,39,0.175214547431096,0.88125509954989,4
17,23,0.771612123120576,0.539279052289203,4
34,43,0.693496028892696,0.883332169614732,4
32,40,0.927005157340318,0.816529117990285,4
12,41,0.0561569218989462,0.494095921050757,4
10,12,0.917029320728034,0.554889743449166,4
11,18,0.573358886409551,0.406455904943869,4
14,21,0.593917910242453,0.450164354406297,4
10,32,0.187627269653603,0.235769616439939,5
4,29,0.174069134518504,0.128902790602297,5
8,20,0.431161547778174,0.732975504826754,5
18,29,0.974863181589171,0.367479352280498,5
3,16,0.177768887719139,0.363864021375775,5
18,39,0.734546989668161,0.39034216850996,5
18,31,0.943823511246592,0.00958030694164336,5
7,34,0.13807506673038,0.692308706464246,5
13,40,0.685951620573178,0.0418667260091752,5
8,30,0.285593913635239,0.465609666658565,5
33,42,0.545305013889447,0.502302451990545,6
33,35,0.513686817837879,0.349244496319443,6
26,32,0.221193029079586,0.448707343777642,6
17,18,0.888209139695391,0.748072714544833,6
46,49,0.789025960490108,0.00861354824155569,6
24,26,0.535911876475438,0.670255225384608,6
43,48,0.404053435660899,0.992859666002914,6
24,25,0.874791518086568,0.132912156870589,6
43,44,0.798402553191409,0.956991153303534,6
32,39,0.405742999399081,0.784763172967359,6
15,19,0.859813558403403,0.0278732141014189,7
34,46,0.810783204622567,0.509403620380908,7
22,27,0.865809343522415,0.491282605100423,7
27,29,0.979111218359321,0.437593534588814,7
17,42,0.204841025406495,0.666887901956216,7
19,30,0.673412365140393,0.0385344596579671,7
14,16,0.665132014546543,0.559139143209904,7
14,18,0.91238405299373,0.485892327036709,7
11,17,0.262547465739772,0.866010518046096,7
16,30,0.458354943897575,0.685767293907702,7
22,26,0.604529252741486,0.511457977117971,8
36,42,0.56962089589797,0.152983095031232,8
30,33,0.988774469122291,0.905171499820426,8
24,28,0.516795198665932,0.298865930642933,8
11,12,0.914049794897437,0.572093211580068,8
18,25,0.261836019344628,0.580736703239381,8
28,30,0.81416806881316,0.469566613202915,8
28,44,0.128461123211309,0.312813514843583,8
15,19,0.755419067339972,0.401398182380944,8
39,40,0.914023417513818,0.229770897887647,8
19,20,0.728804358048365,0.516942857531831,9
18,22,0.976550196995959,0.834450266556814,9
11,12,0.81728987256065,0.370722129009664,9
39,43,0.610668654553592,0.356686193495989,9
14,17,0.680807978613302,0.528681384632364,9
14,20,0.400014019804075,0.484785415232182,9
13,15,0.972363287350163,0.00159757863730192,9
22,37,0.317920044763014,0.0710368431173265,9
22,38,0.228275741217658,0.684218826936558,9
24,35,0.0707236905582249,0.897562361555174,9
37,40,0.460770291043445,0.0107451621443033,10
35,47,0.314956189133227,0.918163085589185,10
45,49,0.768646452575922,0.318570547737181,10
21,22,0.816481426823884,0.695249475073069,10
11,15,0.131169504718855,0.298934057820588,10
13,13,0.677218282595277,0.540418869582936,10
22,26,0.836794442264363,0.550785617437214,10
34,38,0.467711449135095,0.18872376321815,10
29,30,0.954465021146461,0.705122609855607,10
41,43,0.854251660173759,0.82836809149012,10
16,27,0.599590509664267,0.943345858249813,11
14,31,0.396654861280695,0.0229606525972486,11
13,17,0.911964194383472,0.879656476899981,11
11,19,0.540092968847603,0.116873228689656,11
8,12,0.947207239456475,0.647738310042769,11
6,14,0.102504215668887,0.484353632200509,11
29,47,0.565110855735838,0.143724047811702,11
9,26,0.271805698983371,0.427866449812427,11
11,23,0.667885248549283,0.222133441129699,11
15,49,0.160165044711903,0.596884241094813,11
14,18,0.386596244527027,0.0835480235982686,12
33,34,0.692696391837671,0.952413056278601,12
29,34,0.53115317877382,0.739346829941496,12
48,49,0.442532624816522,0.353310375474393,12
39,43,0.298158151563257,0.661056110169739,12
39,39,0.784580783685669,0.984468831680715,12
10,10,0.914628624217585,0.0519844773225486,12
16,17,0.791458198800683,0.545309479115531,12
43,45,0.633907675277442,0.779616904444993,12
37,39,0.852861555991694,0.377216847613454,12
9,45,0.352003004634753,0.0685059675015509,13
1,11,0.103920458350331,0.489745632745326,13
12,33,0.855189104331657,0.436944501008838,13
29,38,0.8821749787312,0.531287273857743,13
5,25,0.0881171233486384,0.338750672060996,13
11,32,0.37964264745824,0.338867517188191,13
13,29,0.746089690830559,0.0529433311894536,13
6,15,0.218102030688897,0.854591865791008,13
11,18,0.66708255908452,0.988356200745329,13
2,10,0.606306923786178,0.551938842749223,13
31,40,0.959232180379331,0.745858982438222,14
11,16,0.312012466834858,0.490006886189803,14
28,34,0.842675088439137,0.683202014537528,14
25,28,0.871653693262488,0.67324921512045,14
31,42,0.448572647990659,0.386556298471987,14
27,35,0.692827635444701,0.951439558994025,14
19,32,0.364176700357348,0.507591062691063,14
15,26,0.224474561400712,0.531682475004345,14
16,19,0.988796813646331,0.468627808615565,14
24,37,0.447181506082416,0.715559164993465,14
18,39,0.119159697089344,0.775859932182357,15
33,48,0.513462109491229,0.921729852212593,15
20,37,0.578032187186182,0.445391607703641,15
13,25,0.156528872670606,0.813601340865716,15
20,30,0.613021998200566,0.625667930115014,15
28,37,0.807465227786452,0.643274664878845,15
19,24,0.657520760549232,0.394060539081693,15
16,30,0.118906112387776,0.209624085109681,15
16,29,0.580498565454036,0.995514027075842,15
5,10,0.502489390550181,0.198343448573723,15
26,36,0.736755545949563,0.923696304438636,16
17,38,0.311084348475561,0.248561235843226,16
13,37,0.0583048900589347,0.864568769466132,16
6,15,0.671521058073267,0.950781835475937,16
4,10,0.552911268081516,0.239149018423632,16
36,47,0.8492894442752,0.195591628085822,16
19,39,0.299549921648577,0.692622936796397,16
23,32,0.588269867002964,0.161625774344429,16
10,28,0.36040147789754,0.186570374295115,16
19,27,0.861263383179903,0.8869543466717,16
